CAMPUS;CURSO
Castanhal;179 - Pedagogia - Licenciatura (Extensivo/Matutino/Entrada 1)
Castanhal (Oferta em Marapanim);180 - Pedagogia - Licenciatura (Intensivo/Integral/Entrada 2)
Castanhal (Oferta em Capanema);181 - Sistema de Informação - Bacharelado (Extensivo/Matutino/Entrada 2)
Salinópolis;182 - Engenharia de Exploração e Produção de Petróleo - Bacharelado (Extensivo/Matutino/Entrada 1)
Salinópolis;183 - Física - Licenciatura (Extensivo/Noturno/Entrada 1)
Salinópolis;184 - Engenharia Costeira e Oceânica - Bacharelado (Extensivo/Vespertino/Entrada 1)
Salinópolis;185 - Matemática - Licenciatura (Extensivo/Vespertino/Entrada 1)
Soure;186 - Ciências Biológicas - Licenciatura (Extensivo/Matutino/Entrada 1)
Soure;187 - Letras - Português - Licenciatura (Intensivo/Integral/Entrada 1)
Tucuruí;188 - Engenharia Civil - Bacharelado (Extensivo/Matutino/Entrada 1)
Tucuruí;189 - Engenharia de Computação - Bacharelado (Extensivo/Vespertino/Entrada 2)
Tucuruí;190 - Engenharia Elétrica - Bacharelado (Extensivo/Matutino/Entrada 2)
Tucuruí;191 - Engenharia Mecânica - Bacharelado (Extensivo/Vespertino/Entrada 1)
Tucuruí;192 - Engenharia Sanitária e Ambiental - Bacharelado (Extensivo/Vespertino/Entrada 2)
Tucuruí;193 - Física - Licenciatura (Extensivo/Matutino/Entrada 1)
