Ano;Codigo da Area;Area de Avaliacao;Grau Academico;Codigo da IES;Nome da IES*;Sigla da IES*;Organizacao Academica;Categoria Administrativa;Codigo do Curso;Modalidade de Ensino;Codigo do Municipio**;Municipio do Curso**;Sigla da UF** ;NUMERO de Concluintes Inscritos;NUMERO  de Concluintes Participantes;Nota Bruta - FG;Nota Padronizada - FG;Nota Bruta - CE;Nota Padronizada - CE;Conceito Enade (Continuo);Conceito Enade (Faixa);Observacao
2021;2501;ARTES VISUAIS ;Licenciatura;3151;UNIVERSIDADE COMUNITARIA DA REGIAO DE CHAPECO;UNOCHAPECO;Universidade;Privada sem fins lucrativos;70694;Educacao Presencial;4204202;Chapeco;SC;15;13;"40,753";"3,026";"60,846";"3,814";"3,617";4;
2021;2501;ARTES VISUAIS ;Licenciatura;3294;CENTRO UNIVERSITARIO FAVENI;UNIFAVENI;Centro Universitario;Privada com fins lucrativos;1501312;Educacao a Distancia;3518800;Guarulhos;SP;36;19;"21,352";"0,171";"32,605";"0,261";"0,239";1;
2021;2501;ARTES VISUAIS ;Licenciatura;3336;UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL;UERGS;Universidade;Publica Estadual;86685;Educacao Presencial;4312401;Montenegro;RS;2;1;;;;;;SC;
2021;2501;ARTES VISUAIS ;Licenciatura;3984;FUNDACAO UNIVERSIDADE FEDERAL DO VALE DO SAO FRANCISCO;UNIVASF;Universidade;Publica Federal;116962;Educacao Presencial;2918407;Juazeiro;BA;26;19;"40,831";"3,038";"54,152";"2,972";"2,988";4;
2021;2501;ARTES VISUAIS ;Licenciatura;14724;"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO PARANA";IFPR;"Instituto Federal de Educacao, Ciencia e Tecnologia";Publica Federal;120114;Educacao Presencial;4117602;Palmas;PR;20;14;"24,228";"0,594";"40,607";"1,268";"1,099";2;
2021;2501;ARTES VISUAIS ;Licenciatura;18440;UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARA;UNIFESSPA;Universidade;Publica Federal;1262447;Educacao Presencial;1504208;Maraba;PA;28;0;;;;;;;Curso para o qual estatisticamente nao foi possivel calcular o indicador
2021;2501;ARTES VISUAIS ;Licenciatura;18492;Universidade Estadual do Parana;UNESPAR;Universidade;Publica Estadual;70536;Educacao Presencial;4106902;Curitiba;PR;54;45;"46,051";"3,806";"59,702";"3,67";"3,704";4;
2021;2501;ARTES VISUAIS ;Licenciatura;18492;Universidade Estadual do Parana;UNESPAR;Universidade;Publica Estadual;1155133;Educacao Presencial;4106902;Curitiba;PR;23;15;"44,853";"3,63";"62,1";"3,971";"3,886";4;
2021;2501;ARTES VISUAIS ;Licenciatura;18506;UNIVERSIDADE FEDERAL DO OESTE DA BAHIA;UFOB;Universidade;Publica Federal;1276412;Educacao Presencial;2928109;Santa Maria da Vitoria;BA;30;26;"30,061";"1,453";"45,25";"1,852";"1,752";2;
2021;4004;CIENCIA DA COMPUTACAO ;Bacharelado;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Publica Federal;36;Educacao Presencial;5103403;Cuiaba;MT;41;36;"38,841";"2,735";"39,98";"2,681";"2,695";3;
2021;4004;CIENCIA DA COMPUTACAO ;Bacharelado;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Publica Federal;112846;Educacao Presencial;5101803;Barra do Garcas;MT;23;19;"41,721";"3,151";38;"2,45";"2,625";3;
2021;4004;CIENCIA DA COMPUTACAO ;Bacharelado;2;UNIVERSIDADE DE BRASILIA;UNB;Universidade;Publica Federal;127;Educacao Presencial;5300108;Brasilia;DF;112;85;"45,089";"3,637";"50,215";"3,876";"3,816";4;
2021;4005;CIENCIA DA COMPUTACAO ;Licenciatura;2;UNIVERSIDADE DE BRASILIA;UNB;Universidade;Publica Federal;18032;Educacao Presencial;5300108;Brasilia;DF;60;39;"42,212";"4,308";"43,628";"4,476";"4,434";5;
